,Unnamed: 0_EMOTION,Auditory_Left_neut_EMOTION,Auditory_Right_neut_EMOTION,Cingulo-Oper_Left_neut_EMOTION,Cingulo-Oper_Right_neut_EMOTION,Default_Left_neut_EMOTION,Default_Right_neut_EMOTION,Dorsal-atten_Left_neut_EMOTION,Dorsal-atten_Right_neut_EMOTION,Frontopariet_Left_neut_EMOTION,Frontopariet_Right_neut_EMOTION,Language_Left_neut_EMOTION,Language_Right_neut_EMOTION,Orbito-Affec_Left_neut_EMOTION,Orbito-Affec_Right_neut_EMOTION,Posterior-Mu_Left_neut_EMOTION,Posterior-Mu_Right_neut_EMOTION,Somatomotor_Left_neut_EMOTION,Somatomotor_Right_neut_EMOTION,Ventral-Mult_Left_neut_EMOTION,Ventral-Mult_Right_neut_EMOTION,Visual1_Left_neut_EMOTION,Visual1_Right_neut_EMOTION,Visual2_Left_neut_EMOTION,Visual2_Right_neut_EMOTION,Auditory_Left_fear_EMOTION,Auditory_Right_fear_EMOTION,Cingulo-Oper_Left_fear_EMOTION,Cingulo-Oper_Right_fear_EMOTION,Default_Left_fear_EMOTION,Default_Right_fear_EMOTION,Dorsal-atten_Left_fear_EMOTION,Dorsal-atten_Right_fear_EMOTION,Frontopariet_Left_fear_EMOTION,Frontopariet_Right_fear_EMOTION,Language_Left_fear_EMOTION,Language_Right_fear_EMOTION,Orbito-Affec_Left_fear_EMOTION,Orbito-Affec_Right_fear_EMOTION,Posterior-Mu_Left_fear_EMOTION,Posterior-Mu_Right_fear_EMOTION,Somatomotor_Left_fear_EMOTION,Somatomotor_Right_fear_EMOTION,Ventral-Mult_Left_fear_EMOTION,Ventral-Mult_Right_fear_EMOTION,Visual1_Left_fear_EMOTION,Visual1_Right_fear_EMOTION,Visual2_Left_fear_EMOTION,Visual2_Right_fear_EMOTION,Unnamed: 0_x,Face_Accuracy_EMOTION,Shape_Accuracy_EMOTION,Median_Face_RT_EMOTION,Median_Shape_RT_EMOTION,Unnamed: 0_SOCIAL,Auditory_Left_rnd_SOCIAL,Auditory_Right_rnd_SOCIAL,Cingulo-Oper_Left_rnd_SOCIAL,Cingulo-Oper_Right_rnd_SOCIAL,Default_Left_rnd_SOCIAL,Default_Right_rnd_SOCIAL,Dorsal-atten_Left_rnd_SOCIAL,Dorsal-atten_Right_rnd_SOCIAL,Frontopariet_Left_rnd_SOCIAL,Frontopariet_Right_rnd_SOCIAL,Language_Left_rnd_SOCIAL,Language_Right_rnd_SOCIAL,Orbito-Affec_Left_rnd_SOCIAL,Orbito-Affec_Right_rnd_SOCIAL,Posterior-Mu_Left_rnd_SOCIAL,Posterior-Mu_Right_rnd_SOCIAL,Somatomotor_Left_rnd_SOCIAL,Somatomotor_Right_rnd_SOCIAL,Ventral-Mult_Left_rnd_SOCIAL,Ventral-Mult_Right_rnd_SOCIAL,Visual1_Left_rnd_SOCIAL,Visual1_Right_rnd_SOCIAL,Visual2_Left_rnd_SOCIAL,Visual2_Right_rnd_SOCIAL,Auditory_Left_mental_SOCIAL,Auditory_Right_mental_SOCIAL,Cingulo-Oper_Left_mental_SOCIAL,Cingulo-Oper_Right_mental_SOCIAL,Default_Left_mental_SOCIAL,Default_Right_mental_SOCIAL,Dorsal-atten_Left_mental_SOCIAL,Dorsal-atten_Right_mental_SOCIAL,Frontopariet_Left_mental_SOCIAL,Frontopariet_Right_mental_SOCIAL,Language_Left_mental_SOCIAL,Language_Right_mental_SOCIAL,Orbito-Affec_Left_mental_SOCIAL,Orbito-Affec_Right_mental_SOCIAL,Posterior-Mu_Left_mental_SOCIAL,Posterior-Mu_Right_mental_SOCIAL,Somatomotor_Left_mental_SOCIAL,Somatomotor_Right_mental_SOCIAL,Ventral-Mult_Left_mental_SOCIAL,Ventral-Mult_Right_mental_SOCIAL,Visual1_Left_mental_SOCIAL,Visual1_Right_mental_SOCIAL,Visual2_Left_mental_SOCIAL,Visual2_Right_mental_SOCIAL,Unnamed: 0_y,Mean_RT_Mental_SOCIAL,Mean_RT_Random_SOCIAL,ACC_Mental_SOCIAL,ACC_Random_SOCIAL,Percent_Mental_SOCIAL,Percent_Random_SOCIAL,Percent_Unsure_SOCIAL,Percent_No_Response_SOCIAL
0,100307,0.193458873,2.899600512,2.485312371,4.029605625,-2.650074263,2.157457027,-1.671007086,-4.262680102,6.104761697,4.38045322,8.436443666,8.472648724,3.584744803,-12.98506638,-11.37524723,-7.0888936,1.559584178,2.858264377,7.573478892,1.820935418,2.097908763,10.11209247,6.452449701,8.551385396,-3.698731097,-1.443158532,-0.484595958,0.363459249,5.005020568,3.244768535,6.948508732,4.306028761,3.710822786,1.151606786,0.604364834,6.162242643,22.37067713,-4.659166411,-1.044006844,-4.902425935,-0.500768049,0.525478177,8.682526091,4.747372651,11.88500353,8.093274653,10.80323899,13.69598507,100307,0.966666667,0.944444444,663.6142857,658.0588235,100307,-3.584585758,3.3928916,-1.246468291,1.49245567,-1.967243246,-0.020524421,8.751724263,5.217089318,-0.441952571,-5.046976578,7.596455436,9.435519858,6.649227558,-1.030086377,-12.29308961,-5.288438911,2.107486549,6.405618097,1.400159285,-8.360385513,-8.264395877,0.340605553,13.62961835,19.19379887,-2.799450189,-12.30126964,0.857310195,-2.917155205,5.980268051,9.672187395,16.00788878,12.8660673,-2.426707063,-1.427418052,19.15836403,8.608325893,-19.33066101,-13.68226145,2.784039642,-8.463768823,-1.657224871,-2.060198927,2.232028274,19.25200899,-9.043681479,-0.982647357,8.356168109,8.278278662,100307,548.5,701.5,0.75,0.833333333,0.5,0.4,0.1,0
1,100408,-8.134647519,-2.44864166,4.108382,5.538849342,1.080768412,-1.266989826,-7.791119852,4.450296125,-2.200761394,-2.510839916,2.163180407,3.306714502,-0.533428687,-0.040938211,-7.632439761,-4.459021194,2.293527798,2.0534265,3.576890657,3.84877057,-16.74935014,3.691690869,5.255140135,4.745006258,4.051907877,5.763722036,-5.241859611,-1.797400145,-6.163758978,7.431876602,8.171048516,5.655782589,-7.258213988,1.844073366,0.069403666,5.405923046,-1.441242539,5.43340457,-3.200495145,0.912387002,-2.529897776,-2.660805024,-0.993035314,2.686393013,12.83192587,3.835954317,-0.901680875,3.990123762,100408,1,1,763.9666667,825.8611111,100408,9.528972902,9.955968291,1.216213338,0.936206918,-7.029718352,-1.778889056,13.73426256,23.47658192,-6.668707522,1.783525546,3.468846685,10.83441016,-6.252068492,4.232923825,-5.133516201,-6.239496221,5.844424786,7.317169428,-6.162946247,-4.858980818,-5.343071247,7.285828354,20.55023076,22.29960817,-10.3214684,-7.344581059,4.740174782,12.11955874,-5.778685441,21.35339206,30.74887086,36.75641823,-12.89523023,-5.01937685,19.10786856,30.70635376,2.741456374,0.002652311,-7.662638656,4.051836711,3.95988712,9.986098269,1.32337326,10.96022851,-4.621962091,4.304590054,27.61173238,32.6607648,100408,1309.666667,1329.25,1,0.833333333,0.5,0.4,0.1,0
2,101915,-23.94609828,-1.772625833,-8.943107988,-6.181262223,-7.131955344,-4.545875638,4.104973429,0.050054136,1.927337989,-2.873713278,11.81565576,9.402521475,1.222433612,-12.66988648,-10.31066173,-9.97837132,-6.907387024,-7.967098866,-4.642186566,-1.010666416,-10.78816649,-9.133414224,2.993212047,3.033716532,11.86938227,8.770907546,8.312428564,7.246908074,11.43462069,15.6105742,6.88745685,12.60261394,4.022786567,8.48234773,5.838151725,10.08310542,4.80987614,18.47687123,7.409706231,11.61172446,7.047995142,7.286387429,13.05891098,9.893398343,23.46872568,19.08498335,14.49813075,17.74893313,101915,1,0.972222222,875.2666667,946.4068627,101915,1.662012139,-5.331125984,-0.623933979,-2.752716346,-8.666794467,-10.48700265,9.202637998,21.65017726,-8.439296611,-7.029390854,0.442735306,8.027586614,0.312495042,-5.589884978,-11.5462834,-10.98112676,-2.333930535,-0.546717086,0.382469209,-1.874137515,0.458309239,-1.344836573,14.71245033,14.77670413,-17.38089864,-7.503581476,-7.560338323,-0.366440853,-5.306415809,15.7040527,21.02412527,26.47780609,-4.833225805,7.012528886,20.16365876,27.82209621,2.24370823,11.8364179,-0.724715313,5.765808458,-7.263510942,-0.422316518,5.213765391,5.882150586,-9.357656781,2.645288249,12.77675402,16.35839643,101915,1635.75,1710.5,1,0.833333333,0.5,0.4,0.1,0
3,102816,1.424344704,-8.027089665,34.15263673,9.599563197,20.52429324,6.876070787,-2.941524385,11.0920666,36.86932013,3.985492195,15.51373605,19.83835181,90.23853574,-22.19335584,10.46998221,-7.400852432,12.58855274,-5.112502899,32.20348153,-17.68631357,28.34848031,21.11118092,8.473931521,19.01991791,17.21555138,-14.03289333,9.775707954,0.190041037,12.91300326,4.072650853,10.68497323,17.20619427,4.835737874,-0.705237939,15.23099935,16.21324726,34.12520725,2.332581173,-8.962050075,-6.253479551,4.399535974,-4.230450789,23.72882929,0.567012442,25.06173511,24.40139503,20.59327821,19.05025031,102816,1,0.972222222,795.9,813.3202614,102816,1.955236831,-0.921158106,-17.38823727,-9.872745531,-17.5849553,-12.53078844,-9.69607211,19.05979665,-22.60813816,-22.00281852,-6.83551193,2.245714773,22.28642742,-26.50900095,-9.647526266,-16.94501637,-13.44847981,-12.12183522,8.089808662,-32.4696729,-8.36839765,-11.84816464,0.668991807,-4.954629779,8.169557973,-4.767543258,22.40527205,11.44496844,13.50269895,30.62632539,23.79136356,28.70366551,17.19182391,21.68756724,30.35840367,25.39036266,8.90352804,56.97054852,-0.033643949,20.8921951,11.12111657,3.653411152,-14.48397013,27.81314457,-10.84608979,-4.501949227,22.95959789,22.64627878,102816,1318.5,1843.75,0.75,0.666666667,0.4,0.3,0.2,0
4,103414,-6.039813048,-8.549330453,1.851365143,1.338286575,-6.769458417,-10.67922278,2.404565318,1.631237096,-12.30190799,-7.198704172,9.720136425,2.15343451,-13.8520984,-11.94971167,-15.99424135,-12.97428101,4.906218133,-3.114831752,-6.476766648,-11.30030184,3.731526546,4.910741847,13.13683921,8.712355966,8.336896761,5.546832345,10.61522069,9.665932381,12.28600928,16.35307189,19.28640459,6.681650225,9.020533939,11.56813095,5.570308235,15.77615508,13.41886429,-9.568776615,6.721083821,4.678012733,4.166450068,9.754206239,17.80617795,16.65149738,18.38564983,22.68897542,17.29215274,18.3693336,103414,0.966666667,1,866.1738095,794.4166667,103414,-2.641409237,13.1498242,-6.598329424,5.88115619,-14.42459253,2.346692718,2.228591866,18.45411427,-14.94177086,-7.393765164,2.151689466,11.63191967,-14.87931343,-10.99601905,-17.35029091,-9.679849901,5.500874357,11.30869519,-9.76823434,-1.344981047,-2.413169169,1.793587972,14.05493844,19.62580526,-2.003504422,-15.48305757,7.015098803,5.983555272,10.41332392,19.00057117,19.00834555,19.13564787,9.065803615,11.08573048,18.09259514,19.6045079,3.462572213,13.66040485,9.272383891,13.50115106,0.652385702,5.8198519,16.87276996,15.7316913,0.725885195,6.97044565,18.45353863,21.55215985,103414,794.0833333,952.5833333,1,1,0.5,0.5,0,0
5,103515,-29.08614782,0.1247745,5.617542089,21.70069999,3.198536936,15.10091931,-4.946540017,8.177630413,9.828029867,15.31427792,3.498645412,14.41442293,6.691448875,17.02076191,-4.009211192,9.243695858,-9.124934849,-3.33246748,-2.68145421,27.32688936,5.355209044,25.55145203,7.859115064,13.11966809,22.26419438,7.134011712,9.49836436,-0.607707559,8.52570183,6.346578788,15.66039108,5.571151187,7.419069429,1.164658702,11.95275342,4.143831137,-4.749751192,7.527108492,13.82191114,5.750709435,19.85804782,11.61514961,18.35620203,1.59021808,31.96497221,17.29269179,14.07923396,13.32265651,103515,0.966666667,0.944444444,851.1095238,866.6423611,103515,2.701900103,-3.205684679,-5.962002185,-2.321360242,-0.43386705,-3.184700355,7.660369824,8.32398554,-1.629746577,-5.108466983,3.260547068,3.863545775,-5.22526655,-9.683807226,-3.596555959,-5.013537696,4.539836543,7.641023454,4.135184742,-0.41924915,-2.824820553,-2.557532501,7.718409417,7.102268897,-3.88828523,0.684680134,9.198224928,3.333433656,5.877058109,7.675141066,17.44939966,32.77389339,12.17820239,16.3619399,25.55899232,27.05495102,3.181042915,5.324891473,7.226304028,10.04858464,-1.182462067,-2.528868104,5.155573384,11.34137297,14.18303799,15.17138483,21.86812561,24.00302393,103515,1097.75,1172,0.583333333,0.583333333,0.3,0.5,0.1,0
6,103818,-14.86914937,-8.877874762,-4.735130852,-1.459728125,-1.922170745,-2.697367331,-4.769313255,-11.30702011,-4.197672468,-1.339228746,-2.512379273,-2.338546371,10.96021981,-17.99935234,-4.854236027,-0.201922151,-10.3453935,-9.079036805,18.71689159,18.10039302,-12.28561372,-11.62875314,-2.273407651,-3.299457898,1.857272821,7.429139451,-6.295529136,2.649704415,-0.70958185,9.624237021,-2.030040226,11.48397056,-10.00906977,-5.272339943,-1.848598086,-1.186224427,-9.142556353,-17.15490557,-6.874839664,-6.38357118,-3.94876698,-1.403633581,8.446298213,17.95461125,3.895914461,9.323180695,6.067748631,9.881978882,103818,1,0.972222222,900.3666667,992.8071895,103818,-1.291046723,4.260872277,-9.996388722,0.540605584,-13.23762669,1.750137082,-2.525976363,18.66059681,-14.37132232,0.221854501,5.275925899,10.61556044,-16.22714243,3.217126642,-23.20724278,-8.294979374,-2.685395764,5.519389609,-17.14550329,0.02959125,-10.60168669,-11.50936234,4.190111933,11.95636923,-6.238465215,-17.34362724,-0.812546612,-0.449151832,13.21997864,11.48819496,13.2497148,21.3681834,2.408827977,-2.237506525,12.06325022,12.36018343,4.523602285,-2.811770457,5.55625295,3.287352545,1.337330095,2.605908186,16.69258138,14.78137722,-9.848158271,-11.54798327,3.185428715,2.8611867,103818,1054,1081,1,0.583333333,0.5,0.3,0.2,0
7,105115,11.08178603,16.81110597,14.56770585,11.55469356,10.46505957,6.226895217,11.08488265,5.959460946,19.95904965,1.645567327,12.88681593,6.001105899,13.45608869,22.86247382,26.10198097,15.66302781,13.04863998,8.554286496,1.325504123,18.13966277,16.17200361,19.83510827,6.851182877,9.235525278,-7.126787666,-9.787466928,-20.02587424,-17.68279519,-5.781757765,-3.155366979,-6.052656191,-5.442984086,-11.99359791,-5.664002412,-13.91766234,-6.073287353,2.640140244,-8.212752247,-10.17736581,-1.848323964,-9.308129983,-7.603668482,-0.419258721,-1.945502741,3.302161643,4.598186689,3.163903338,7.305334964,105115,1,1,824.7666667,803.0833333,105115,11.32258071,15.65936815,-3.740997961,7.406320966,3.602610244,11.00941859,8.347518104,27.25705835,-0.190700906,14.53046506,11.43282985,25.44612318,-9.061363116,0.584914281,-3.084468163,11.40881555,8.385319322,14.32745297,-5.109421561,12.55069198,7.530298629,10.12083862,21.59896082,25.91612052,9.672621955,4.801338743,16.85285048,6.555430836,21.53740647,16.42909549,27.54713746,26.3064391,24.17057551,10.75964942,34.30416194,25.98795085,16.96130681,5.913086094,16.79687277,4.203712206,9.985811224,8.1047094,17.49537135,3.298743156,0.163766202,0.673388741,28.00013567,22.56763666,105115,898.5,858.8333333,1,0.75,0.6,0.4,0,0
8,105216,-2.429577475,0.377174848,-6.431115927,-3.90257463,-2.40790506,-7.312201518,-3.965814733,-3.383033666,-10.73986311,-8.026873622,4.631651781,-0.307489189,-15.85288713,4.127354083,-9.323062623,-13.4133762,-8.416851867,-8.653206724,-0.947155414,5.842595091,-17.04347924,-12.8922639,5.767707326,-3.989472384,6.063878224,-6.108551171,0.485596815,-1.177831563,6.252867712,9.419382605,7.639590312,14.06746142,6.950192618,13.12985014,-2.117967992,5.525293247,6.410179638,3.142781116,6.859726261,8.753871361,-1.323314665,-4.94129793,9.353267665,12.17105168,18.54144055,10.21315836,12.01903447,15.82646254,105216,0.966666667,0.916666667,680.2309524,606.8253676,105216,-14.56720352,-18.12693643,0.249492248,-5.294375043,-11.626317,-6.374247222,1.931840433,7.426857663,-14.33720444,-1.900240309,4.719992025,7.583402462,-9.3705554,-14.62112387,-14.5143955,-16.71472254,3.668598282,-2.309416089,-7.492781219,-34.6173463,-5.378642606,-20.79202486,20.03932024,9.058276039,-25.04570055,-25.00420878,-12.90934177,-12.49942846,-10.23284508,2.634916095,8.13951702,13.41695891,-16.27153912,-11.10568448,13.8198449,18.5863594,-3.035211484,-3.527193865,-17.82059908,-15.70452217,-15.24811956,-15.66715404,-14.06983723,9.445476138,-28.45825648,-19.36221618,10.36545972,19.19746243,105216,820.3333333,764,1,1,0.5,0.5,0,0
9,106016,8.19132991,11.93278714,5.356515418,5.148049657,4.805089072,2.393798252,-1.344393468,5.415733309,8.849736632,1.920805402,7.803829222,7.840985658,14.51630796,-1.121550558,5.817062561,4.288834178,-0.971543123,1.4576553,-3.112569293,-1.350669759,11.22296484,7.393016872,3.669883136,10.36706616,5.390839379,2.625242424,2.281324046,7.020675756,-1.948184785,8.05225259,0.707005119,14.48752132,4.88209663,10.83885892,9.716983038,7.282188553,-23.42359693,-0.378821492,-11.37126808,-4.018129386,0.74350724,1.638535998,7.541221365,12.63060002,7.17090031,8.046295983,13.8338776,16.58679026,106016,1,1,760.0666667,805.8611111,106016,-0.260117815,-12.6890082,-1.526052978,-9.833756442,-8.453962017,-22.19782868,-1.906754066,-3.673315905,-4.63529583,-13.22842197,2.499718665,-4.690231645,-14.61491461,-17.49046082,-7.16878988,-15.39972972,0.893134325,-4.401971674,4.00863135,-22.83488313,-7.755499689,-11.49412228,8.611648394,4.083966663,-0.664851814,13.9950465,2.915503147,11.15535594,-0.004444082,18.22481422,-1.003753818,12.84447047,0.564996118,8.494013654,8.053086342,17.54875461,22.33906465,17.58346576,1.062995689,8.40270104,-1.344044364,1.570544877,0.798695714,14.13387006,0.856436062,-0.035056299,4.474653275,11.14099379,106016,693.1666667,770.25,1,0.833333333,0.5,0.4,0.1,0
